,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145026.1,-1,70621.0,70686.0,69880.0,69898.0,69881.0,70711.0,70607.0,WHO_S2_2024_opa_1,0
1,NZ_CP145026.1,-1,76333.0,76373.0,75565.0,75583.0,75566.0,76398.0,76319.0,WHO_S2_2024_opa_2,0
2,NZ_CP145026.1,-1,569621.0,569671.0,568883.0,568901.0,568884.0,569696.0,569607.0,WHO_S2_2024_opa_3,0
3,NZ_CP145026.1,1,610325.0,610375.0,611125.0,611143.0,610300.0,611142.0,610389.0,WHO_S2_2024_opa_4,0
4,NZ_CP145026.1,-1,687939.0,687989.0,687213.0,687231.0,687214.0,688014.0,687925.0,WHO_S2_2024_opa_5,0
5,NZ_CP145026.1,1,1176157.0,1176197.0,1176911.0,1176929.0,1176132.0,1176928.0,1176211.0,WHO_S2_2024_opa_6,0
6,NZ_CP145026.1,-1,1376089.0,1376199.0,1375348.0,1375366.0,1375349.0,1376223.0,1376075.0,WHO_S2_2024_opa_7,0
7,NZ_CP145026.1,1,1430501.0,1430571.0,1431294.0,1431312.0,1430476.0,1431311.0,1430585.0,WHO_S2_2024_opa_8,0
8,NZ_CP145026.1,1,1480487.0,1480527.0,1481208.0,1481226.0,1480464.0,1481225.0,1480541.0,WHO_S2_2024_opa_9,0
9,NZ_CP145026.1,1,1737068.0,1737093.0,1737816.0,1737834.0,1737043.0,1737833.0,1737107.0,WHO_S2_2024_opa_10,0
10,NZ_CP145026.1,1,1948664.0,1948704.0,1949415.0,1949433.0,1948640.0,1949432.0,1948718.0,WHO_S2_2024_opa_11,1
