,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_OZ197910.1,-1,69845.0,69900.0,69095.0,69113.0,69096.0,69925.0,69831.0,SAMEA116302675_opa_1,0
1,NZ_OZ197910.1,-1,75519.0,75564.0,74772.0,74790.0,74773.0,75589.0,75505.0,SAMEA116302675_opa_2,1
2,NZ_OZ197910.1,1,984337.0,984347.0,985082.0,985100.0,984314.0,985099.0,984361.0,SAMEA116302675_opa_3,0
3,NZ_OZ197910.1,-1,1062605.0,1062695.0,1061855.0,1061873.0,1061856.0,1062718.0,1062591.0,SAMEA116302675_opa_4,0
4,NZ_OZ197910.1,1,1103347.0,1103367.0,1104063.0,1104081.0,1103322.0,1104080.0,1103381.0,SAMEA116302675_opa_5,0
5,NZ_OZ197910.1,1,1273771.0,1273856.0,1274588.0,1274606.0,1273746.0,1274605.0,1273870.0,SAMEA116302675_opa_6,0
6,NZ_OZ197910.1,-1,1467633.0,1467653.0,1466907.0,1466925.0,1466908.0,1467677.0,1467619.0,SAMEA116302675_opa_7,0
7,NZ_OZ197910.1,1,1521373.0,1521453.0,1522185.0,1522203.0,1521348.0,1522202.0,1521467.0,SAMEA116302675_opa_8,0
8,NZ_OZ197910.1,1,1570464.0,1570481.0,1571210.0,1571228.0,1570439.0,1571227.0,1570495.0,SAMEA116302675_opa_9,0
9,NZ_OZ197910.1,-1,1894038.0,1894148.0,1893288.0,1893306.0,1893289.0,1894172.0,1894024.0,SAMEA116302675_opa_10,0
10,NZ_OZ197910.1,-1,2104098.0,2104173.0,2103348.0,2103366.0,2103349.0,2104198.0,2104084.0,SAMEA116302675_opa_11,1
