,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145035.1,-1,70249.0,70294.0,69502.0,69520.0,69503.0,70319.0,70235.0,WHO_P_2024_opa_1,1
1,NZ_CP145035.1,-1,75735.0,75770.0,74997.0,75015.0,74998.0,75795.0,75721.0,WHO_P_2024_opa_2,0
2,NZ_CP145035.1,1,998905.0,998940.0,999633.0,999651.0,998880.0,999650.0,998954.0,WHO_P_2024_opa_3,0
3,NZ_CP145035.1,-1,1076477.0,1076527.0,1075739.0,1075757.0,1075740.0,1076552.0,1076463.0,WHO_P_2024_opa_4,0
4,NZ_CP145035.1,1,1117181.0,1117261.0,1117981.0,1117999.0,1117156.0,1117998.0,1117275.0,WHO_P_2024_opa_5,0
5,NZ_CP145035.1,1,1174523.0,1174593.0,1175307.0,1175325.0,1174498.0,1175324.0,1174607.0,WHO_P_2024_opa_6,0
6,NZ_CP145035.1,-1,1374719.0,1374794.0,1373978.0,1373996.0,1373979.0,1374818.0,1374705.0,WHO_P_2024_opa_7,0
7,NZ_CP145035.1,1,1428504.0,1428544.0,1429240.0,1429258.0,1428479.0,1429257.0,1428558.0,WHO_P_2024_opa_8,0
8,NZ_CP145035.1,1,1477943.0,1477993.0,1478683.0,1478701.0,1477918.0,1478700.0,1478007.0,WHO_P_2024_opa_9,0
9,NZ_CP145035.1,1,1737821.0,1737861.0,1738560.0,1738578.0,1737796.0,1738577.0,1737875.0,WHO_P_2024_opa_10,0
10,NZ_CP145035.1,1,1950318.0,1950378.0,1951089.0,1951107.0,1950294.0,1951106.0,1950392.0,WHO_P_2024_opa_11,0
