,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145019.1,-1,69870.0,69955.0,69120.0,69138.0,69121.0,69980.0,69856.0,WHO_X_2024_opa_1,0
1,NZ_CP145019.1,-1,75341.0,75386.0,74597.0,74615.0,74598.0,75411.0,75327.0,WHO_X_2024_opa_2,1
2,NZ_CP145019.1,-1,567935.0,567970.0,567203.0,567221.0,567204.0,567995.0,567921.0,WHO_X_2024_opa_3,0
3,NZ_CP145019.1,1,608624.0,608674.0,609406.0,609424.0,608599.0,609423.0,608688.0,WHO_X_2024_opa_4,0
4,NZ_CP145019.1,-1,686537.0,686577.0,685811.0,685829.0,685812.0,686602.0,686523.0,WHO_X_2024_opa_5,0
5,NZ_CP145019.1,1,1176799.0,1176834.0,1177554.0,1177572.0,1176774.0,1177571.0,1176848.0,WHO_X_2024_opa_6,0
6,NZ_CP145019.1,-1,1374675.0,1374725.0,1373952.0,1373970.0,1373953.0,1374750.0,1374661.0,WHO_X_2024_opa_7,0
7,NZ_CP145019.1,1,1429390.0,1429435.0,1430149.0,1430167.0,1429365.0,1430166.0,1429449.0,WHO_X_2024_opa_8,1
8,NZ_CP145019.1,1,1478856.0,1478896.0,1479613.0,1479631.0,1478831.0,1479630.0,1478910.0,WHO_X_2024_opa_9,0
9,NZ_CP145019.1,1,1735798.0,1735843.0,1736557.0,1736575.0,1735773.0,1736574.0,1735857.0,WHO_X_2024_opa_10,1
10,NZ_CP145019.1,1,1947153.0,1947198.0,1947918.0,1947936.0,1947129.0,1947935.0,1947212.0,WHO_X_2024_opa_11,0
