,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145048.1,-1,69744.0,69769.0,68994.0,69012.0,68995.0,69794.0,69730.0,WHO_K_2024_opa_1,0
1,NZ_CP145048.1,-1,75152.0,75187.0,74411.0,74429.0,74412.0,75212.0,75138.0,WHO_K_2024_opa_2,0
2,NZ_CP145048.1,1,997106.0,997156.0,997864.0,997882.0,997081.0,997881.0,997170.0,WHO_K_2024_opa_3,0
3,NZ_CP145048.1,-1,1075023.0,1075103.0,1074273.0,1074291.0,1074274.0,1075128.0,1075009.0,WHO_K_2024_opa_4,0
4,NZ_CP145048.1,1,1115757.0,1115822.0,1116536.0,1116554.0,1115732.0,1116553.0,1115836.0,WHO_K_2024_opa_5,0
5,NZ_CP145048.1,1,1175317.0,1175352.0,1176075.0,1176093.0,1175292.0,1176092.0,1175366.0,WHO_K_2024_opa_6,0
6,NZ_CP145048.1,-1,1373213.0,1373273.0,1372490.0,1372508.0,1372491.0,1373298.0,1373199.0,WHO_K_2024_opa_7,1
7,NZ_CP145048.1,1,1427929.0,1427964.0,1428672.0,1428690.0,1427904.0,1428689.0,1427978.0,WHO_K_2024_opa_8,0
8,NZ_CP145048.1,1,1477378.0,1477423.0,1478140.0,1478158.0,1477353.0,1478157.0,1477437.0,WHO_K_2024_opa_9,1
9,NZ_CP145048.1,1,1734274.0,1734309.0,1735032.0,1735050.0,1734249.0,1735049.0,1734323.0,WHO_K_2024_opa_10,0
10,NZ_CP145048.1,1,1945934.0,1945969.0,1946692.0,1946710.0,1945910.0,1946709.0,1945983.0,WHO_K_2024_opa_11,0
