,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145041.1,-1,69770.0,69795.0,69038.0,69056.0,69039.0,69820.0,69756.0,WHO_M_2024_opa_1,0
1,NZ_CP145041.1,-1,75234.0,75274.0,74499.0,74517.0,74500.0,75299.0,75220.0,WHO_M_2024_opa_2,0
2,NZ_CP145041.1,-1,570555.0,570625.0,569817.0,569835.0,569818.0,570650.0,570541.0,WHO_M_2024_opa_3,0
3,NZ_CP145041.1,1,611277.0,611362.0,612088.0,612106.0,611252.0,612105.0,611376.0,WHO_M_2024_opa_4,0
4,NZ_CP145041.1,-1,689244.0,689284.0,688488.0,688506.0,688489.0,689309.0,689230.0,WHO_M_2024_opa_5,0
5,NZ_CP145041.1,1,1176995.0,1177035.0,1177758.0,1177776.0,1176970.0,1177775.0,1177049.0,WHO_M_2024_opa_6,0
6,NZ_CP145041.1,-1,1376227.0,1376317.0,1375486.0,1375504.0,1375487.0,1376341.0,1376213.0,WHO_M_2024_opa_7,0
7,NZ_CP145041.1,1,1431472.0,1431512.0,1432232.0,1432250.0,1431447.0,1432249.0,1431526.0,WHO_M_2024_opa_8,0
8,NZ_CP145041.1,1,1480939.0,1480999.0,1481680.0,1481698.0,1480916.0,1481697.0,1481013.0,WHO_M_2024_opa_9,0
9,NZ_CP145041.1,1,1742382.0,1742422.0,1743148.0,1743166.0,1742357.0,1743165.0,1742436.0,WHO_M_2024_opa_10,0
10,NZ_CP145041.1,1,1954274.0,1954314.0,1955025.0,1955043.0,1954250.0,1955042.0,1954328.0,WHO_M_2024_opa_11,1
