,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145090.1,-1,70066.0,70136.0,69322.0,69340.0,69323.0,70161.0,70052.0,WHO_A_2024_opa_1,0
1,NZ_CP145090.1,-1,75837.0,75952.0,75093.0,75111.0,75094.0,75977.0,75823.0,WHO_A_2024_opa_2,0
2,NZ_CP145090.1,-1,500399.0,500449.0,499649.0,499667.0,499650.0,500474.0,500385.0,WHO_A_2024_opa_3,0
3,NZ_CP145090.1,1,538838.0,538873.0,539584.0,539602.0,538813.0,539601.0,538887.0,WHO_A_2024_opa_4,0
4,NZ_CP145090.1,-1,646592.0,646647.0,645854.0,645872.0,645855.0,646672.0,646578.0,WHO_A_2024_opa_5,0
5,NZ_CP145090.1,1,1303328.0,1303368.0,1304079.0,1304097.0,1303303.0,1304096.0,1303382.0,WHO_A_2024_opa_6,0
6,NZ_CP145090.1,-1,1506429.0,1506474.0,1505718.0,1505736.0,1505719.0,1506498.0,1506415.0,WHO_A_2024_opa_7,0
7,NZ_CP145090.1,1,1591650.0,1591705.0,1592416.0,1592434.0,1591625.0,1592433.0,1591719.0,WHO_A_2024_opa_8,0
8,NZ_CP145090.1,1,1641184.0,1641214.0,1641907.0,1641925.0,1641161.0,1641924.0,1641228.0,WHO_A_2024_opa_9,0
9,NZ_CP145090.1,-1,1973383.0,1973458.0,1972654.0,1972672.0,1972655.0,1973482.0,1973369.0,WHO_A_2024_opa_10,0
10,NZ_CP145090.1,-1,2181888.0,2181923.0,2181144.0,2181162.0,2181145.0,2181948.0,2181874.0,WHO_A_2024_opa_11,0
