,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145017.1,-1,70272.0,70327.0,69543.0,69561.0,69544.0,70352.0,70258.0,WHO_Y_2024_opa_1,0
1,NZ_CP145017.1,-1,76449.0,76485.0,75768.0,75786.0,75769.0,76511.0,76435.0,WHO_Y_2024_opa_2,0
2,NZ_CP145017.1,-1,613495.0,613540.0,612736.0,612754.0,612737.0,613563.0,613481.0,WHO_Y_2024_opa_3,0
3,NZ_CP145017.1,1,654194.0,654259.0,654979.0,654997.0,654169.0,654996.0,654273.0,WHO_Y_2024_opa_4,0
4,NZ_CP145017.1,-1,731842.0,731897.0,731122.0,731140.0,731123.0,731922.0,731828.0,WHO_Y_2024_opa_5,0
5,NZ_CP145017.1,1,1277894.0,1277939.0,1278680.0,1278698.0,1277871.0,1278697.0,1277953.0,WHO_Y_2024_opa_6,0
6,NZ_CP145017.1,-1,1476866.0,1476906.0,1476143.0,1476161.0,1476144.0,1476930.0,1476852.0,WHO_Y_2024_opa_7,1
7,NZ_CP145017.1,1,1532323.0,1532403.0,1533126.0,1533144.0,1532299.0,1533143.0,1532417.0,WHO_Y_2024_opa_8,0
8,NZ_CP145017.1,1,1581828.0,1581878.0,1582574.0,1582592.0,1581805.0,1582591.0,1581892.0,WHO_Y_2024_opa_9,1
9,NZ_CP145017.1,1,2005316.0,2005366.0,2006089.0,2006107.0,2005292.0,2006106.0,2005380.0,WHO_Y_2024_opa_10,0
