,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145015.1,-1,69880.0,69930.0,69127.0,69145.0,69128.0,69955.0,69866.0,WHO_Z_2024_opa_1,0
1,NZ_CP145015.1,-1,75304.0,75354.0,74572.0,74590.0,74573.0,75379.0,75290.0,WHO_Z_2024_opa_2,0
2,NZ_CP145015.1,-1,567987.0,568022.0,567255.0,567273.0,567256.0,568047.0,567973.0,WHO_Z_2024_opa_3,0
3,NZ_CP145015.1,1,608679.0,608719.0,609454.0,609472.0,608654.0,609471.0,608733.0,WHO_Z_2024_opa_4,0
4,NZ_CP145015.1,-1,686572.0,686607.0,685846.0,685864.0,685847.0,686632.0,686558.0,WHO_Z_2024_opa_5,0
5,NZ_CP145015.1,1,1233286.0,1233321.0,1234059.0,1234077.0,1233261.0,1234076.0,1233335.0,WHO_Z_2024_opa_6,0
6,NZ_CP145015.1,-1,1431178.0,1431258.0,1430455.0,1430473.0,1430456.0,1431283.0,1431164.0,WHO_Z_2024_opa_7,0
7,NZ_CP145015.1,1,1485916.0,1485956.0,1486664.0,1486682.0,1485891.0,1486681.0,1485970.0,WHO_Z_2024_opa_8,0
8,NZ_CP145015.1,1,1535999.0,1536039.0,1536756.0,1536774.0,1535974.0,1536773.0,1536053.0,WHO_Z_2024_opa_9,0
9,NZ_CP145015.1,1,1793140.0,1793185.0,1793893.0,1793911.0,1793115.0,1793910.0,1793199.0,WHO_Z_2024_opa_10,1
10,NZ_CP145015.1,1,2005256.0,2005316.0,2006051.0,2006069.0,2005232.0,2006068.0,2005330.0,WHO_Z_2024_opa_11,0
