,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145032.1,-1,71461.0,71516.0,70732.0,70750.0,70733.0,71541.0,71447.0,WHO_Q_2024_opa_1,0
1,NZ_CP145032.1,-1,76950.0,76990.0,76218.0,76236.0,76219.0,77015.0,76936.0,WHO_Q_2024_opa_2,0
2,NZ_CP145032.1,-1,627289.0,627324.0,626566.0,626584.0,626567.0,627349.0,627275.0,WHO_Q_2024_opa_3,0
3,NZ_CP145032.1,-1,688933.0,688983.0,688174.0,688192.0,688175.0,689008.0,688919.0,WHO_Q_2024_opa_4,0
4,NZ_CP145032.1,1,729387.0,729452.0,730163.0,730181.0,729362.0,730180.0,729466.0,WHO_Q_2024_opa_5,0
5,NZ_CP145032.1,-1,807146.0,807156.0,806438.0,806456.0,806439.0,807181.0,807132.0,WHO_Q_2024_opa_6,0
6,NZ_CP145032.1,-1,1380271.0,1380316.0,1379509.0,1379527.0,1379510.0,1380340.0,1380257.0,WHO_Q_2024_opa_7,0
7,NZ_CP145032.1,1,1435974.0,1436009.0,1436750.0,1436768.0,1435949.0,1436767.0,1436023.0,WHO_Q_2024_opa_8,0
8,NZ_CP145032.1,1,1485459.0,1485514.0,1486195.0,1486213.0,1485436.0,1486212.0,1485528.0,WHO_Q_2024_opa_9,0
9,NZ_CP145032.1,1,1742051.0,1742111.0,1742801.0,1742819.0,1742026.0,1742818.0,1742125.0,WHO_Q_2024_opa_10,1
10,NZ_CP145032.1,1,1954048.0,1954098.0,1954827.0,1954845.0,1954024.0,1954844.0,1954112.0,WHO_Q_2024_opa_11,0
