,chromosome,strand,start_cr,stop_cr,start_term,stop_term,start,stop,n_terminus,id,in_frame
0,NZ_CP145071.1,-1,71162.0,71187.0,70406.0,70424.0,70407.0,71212.0,71148.0,WHO_J_2024_opa_1,0
1,NZ_CP145071.1,-1,76561.0,76636.0,75829.0,75847.0,75830.0,76661.0,76547.0,WHO_J_2024_opa_2,1
2,NZ_CP145071.1,1,1001498.0,1001533.0,1002241.0,1002259.0,1001473.0,1002258.0,1001547.0,WHO_J_2024_opa_3,0
3,NZ_CP145071.1,-1,1079424.0,1079509.0,1078677.0,1078695.0,1078678.0,1079534.0,1079410.0,WHO_J_2024_opa_4,0
4,NZ_CP145071.1,1,1120203.0,1120253.0,1120946.0,1120964.0,1120178.0,1120963.0,1120267.0,WHO_J_2024_opa_5,0
5,NZ_CP145071.1,1,1179904.0,1179959.0,1180673.0,1180691.0,1179879.0,1180690.0,1179973.0,WHO_J_2024_opa_6,0
6,NZ_CP145071.1,-1,1380660.0,1380705.0,1379892.0,1379910.0,1379893.0,1380729.0,1380646.0,WHO_J_2024_opa_7,0
7,NZ_CP145071.1,1,1436233.0,1436268.0,1436997.0,1437015.0,1436208.0,1437014.0,1436282.0,WHO_J_2024_opa_8,0
8,NZ_CP145071.1,1,1485701.0,1485751.0,1486459.0,1486477.0,1485678.0,1486476.0,1485765.0,WHO_J_2024_opa_9,1
9,NZ_CP145071.1,1,1741389.0,1741444.0,1742173.0,1742191.0,1741364.0,1742190.0,1741458.0,WHO_J_2024_opa_10,0
10,NZ_CP145071.1,1,1947803.0,1947863.0,1948574.0,1948592.0,1947779.0,1948591.0,1947877.0,WHO_J_2024_opa_11,0
